text,label
근데 요즘 남자친구가 달라진 것 같다는 느낌이 계속 들어요.,2
어떤 특정한 계기가 있어서 너 변했어!,2
"이런게 아니라 너무 답답하고, 괜히 내가 헛다리 짚어서 내 속을 스스로 상하게 하는건가 싶은 생각도 들어요.",1
"진짜 세상 달달하더라구요ㅜㅜㅜ 항상 이름 부를 때 옆에 하트 붙여주고, 귀엽다 사랑스럽다 이런 얘기도 잔뜩 해줬던 남친의 옛날 모습이 지금과는 다른 것 같아 괜히 씁쓸해졌어요..",1
요즘엔 만날 때도 제가 먼저 팔짱끼거나 손잡지 않는 이상 먼저 스킨쉽하는 것 같지도 않고 하..,1
"뭘까요 이젠 내가 편해진건지, 아니면 마음이 식은건지..",1
이런저런 생각이 많이 들어서 요즘 너무 속상하네요ㅜㅜㅜ 1년 넘게 사귄 사이면서 연애 초반의 모습을 바라는 제가 너무 욕심부리는걸까요?,0
"너가 그리운건지, 그때의 내가 그리운건지",2
좋아하는 사람이 연애에는 관심이 없고 오로지 덕질에만 치중하는 경우에 어떻게 어필해야 할까요...,1
게다가 특이하게도 계도 되게 많이 탄 편이고 연예인이랑도 아는 사이인 것 같고요 주위에서도 그 연예인이랑 사귀냐고 물어보고 그러나봐요,3
이사람과 잘될 확률..,2
0일까요...,1
저 오늘 학교에서 밤에 집가는 길에 하늘을 보는데 별이 되게 많은거에요!,3
그래서 멈춰서 계속 보는데 오리온자리는 매번 봤던 별자리라 바로 찾았는데 오리온 자리 주변에도 반짝거리고 큰 별들이 몇 개 더 있는거 있죠?,3
이거말고도 황소자리랑 쌍둥이자리 별들도 보였어요,2
진짜 인터넷에 겨울철 별자리 치면 나오는 그림 그대로라서 너무 신기했어요,3
다들 학교에서 밤 늦게 집에 들어가실 때 하늘 별자리 보면서 힐링하세요!,3
너는 나에게 참 좋은 여자친구였다.,3
가끔씩 수업이 끝난 후 강의실 앞에서 도시락을 만들었으니 한강으로 놀러가자며 내 손을 잡고 예쁘게 웃는 너를 보면 내가 얼마나 행복한 사람인지 깨달았다.,3
"내 팔짱을 끼고 신나게 얘기하다 문득 나를 올려다볼때, 그 눈동자에 한가득 사랑스러움이 담겨있는 것을 볼때마다 내가 얼마나 사랑받고 있는 사람인지 알았다.",3
